enrollment_id,student_id,course_id,semester_id,grade,created_at
ENR-00001,STU-0049,CRS-0003,SEM-2,C,2026-04-16T13:18:17.260634
ENR-00002,STU-0111,CRS-0035,SEM-5,C,2026-04-16T13:18:17.260654
ENR-00003,STU-0175,CRS-0051,SEM-3,B,2026-04-16T13:18:17.260661
ENR-00004,STU-0144,CRS-0038,SEM-1,C,2026-04-16T13:18:17.260667
ENR-00005,STU-0285,CRS-0048,SEM-4,A,2026-04-16T13:18:17.260672
ENR-00006,STU-0284,CRS-0033,SEM-1,B,2026-04-16T13:18:17.260677
ENR-00007,STU-0458,CRS-0014,SEM-2,W,2026-04-16T13:18:17.260681
ENR-00008,STU-0050,CRS-0037,SEM-3,B,2026-04-16T13:18:17.260685
ENR-00009,STU-0473,CRS-0037,SEM-5,B,2026-04-16T13:18:17.260689
ENR-00010,STU-0206,CRS-0047,SEM-2,B,2026-04-16T13:18:17.260694
ENR-00011,STU-0202,CRS-0037,SEM-2,B,2026-04-16T13:18:17.260702
ENR-00012,STU-0025,CRS-0019,SEM-1,W,2026-04-16T13:18:17.260706
ENR-00013,STU-0247,CRS-0029,SEM-6,B,2026-04-16T13:18:17.260710
ENR-00014,STU-0417,CRS-0038,SEM-4,D,2026-04-16T13:18:17.260715
ENR-00015,STU-0198,CRS-0035,SEM-1,F,2026-04-16T13:18:17.260719
ENR-00016,STU-0342,CRS-0012,SEM-2,A,2026-04-16T13:18:17.260723
ENR-00017,STU-0268,CRS-0020,SEM-4,B,2026-04-16T13:18:17.260727
ENR-00018,STU-0152,CRS-0058,SEM-1,B,2026-04-16T13:18:17.260731
ENR-00019,STU-0267,CRS-0035,SEM-1,D,2026-04-16T13:18:17.260736
ENR-00020,STU-0368,CRS-0011,SEM-5,W,2026-04-16T13:18:17.260740
ENR-00021,STU-0214,CRS-0002,SEM-4,C,2026-04-16T13:18:17.260744
ENR-00022,STU-0277,CRS-0022,SEM-6,C,2026-04-16T13:18:17.260748
ENR-00023,STU-0010,CRS-0055,SEM-3,D,2026-04-16T13:18:17.260752
ENR-00024,STU-0021,CRS-0033,SEM-4,D,2026-04-16T13:18:17.260756
ENR-00025,STU-0469,CRS-0038,SEM-5,B,2026-04-16T13:18:17.260760
ENR-00026,STU-0025,CRS-0058,SEM-3,A,2026-04-16T13:18:17.260764
ENR-00027,STU-0310,CRS-0050,SEM-5,B,2026-04-16T13:18:17.260769
ENR-00028,STU-0254,CRS-0047,SEM-3,A,2026-04-16T13:18:17.260773
ENR-00029,STU-0313,CRS-0022,SEM-1,D,2026-04-16T13:18:17.260777
ENR-00030,STU-0032,CRS-0038,SEM-2,A,2026-04-16T13:18:17.260781
ENR-00031,STU-0044,CRS-0018,SEM-4,B,2026-04-16T13:18:17.260786
ENR-00032,STU-0237,CRS-0012,SEM-4,B,2026-04-16T13:18:17.260790
ENR-00033,STU-0170,CRS-0021,SEM-2,D,2026-04-16T13:18:17.260794
ENR-00034,STU-0439,CRS-0044,SEM-3,B,2026-04-16T13:18:17.260825
ENR-00035,STU-0030,CRS-0012,SEM-6,C,2026-04-16T13:18:17.260830
ENR-00036,STU-0273,CRS-0025,SEM-6,A,2026-04-16T13:18:17.260835
ENR-00037,STU-0241,CRS-0060,SEM-3,A,2026-04-16T13:18:17.260839
ENR-00038,STU-0466,CRS-0048,SEM-1,B,2026-04-16T13:18:17.260843
ENR-00039,STU-0104,CRS-0047,SEM-2,D,2026-04-16T13:18:17.260847
ENR-00040,STU-0377,CRS-0055,SEM-2,A,2026-04-16T13:18:17.260851
ENR-00041,STU-0388,CRS-0031,SEM-1,A,2026-04-16T13:18:17.260856
ENR-00042,STU-0462,CRS-0028,SEM-5,D,2026-04-16T13:18:17.260860
ENR-00043,STU-0482,CRS-0027,SEM-4,C,2026-04-16T13:18:17.260865
ENR-00044,STU-0349,CRS-0032,SEM-5,B,2026-04-16T13:18:17.260869
ENR-00045,STU-0256,CRS-0052,SEM-1,A,2026-04-16T13:18:17.260873
ENR-00046,STU-0118,CRS-0005,SEM-5,D,2026-04-16T13:18:17.260877
ENR-00047,STU-0120,CRS-0042,SEM-3,F,2026-04-16T13:18:17.260881
ENR-00048,STU-0066,CRS-0029,SEM-5,W,2026-04-16T13:18:17.260885
ENR-00049,STU-0001,CRS-0035,SEM-1,A,2026-04-16T13:18:17.260889
ENR-00050,STU-0111,CRS-0024,SEM-3,A,2026-04-16T13:18:17.260895
ENR-00051,STU-0454,CRS-0026,SEM-6,A,2026-04-16T13:18:17.260899
ENR-00052,STU-0191,CRS-0049,SEM-3,B,2026-04-16T13:18:17.260903
ENR-00053,STU-0059,CRS-0026,SEM-3,B,2026-04-16T13:18:17.260907
ENR-00054,STU-0333,CRS-0039,SEM-2,C,2026-04-16T13:18:17.260912
ENR-00055,STU-0076,CRS-0036,SEM-5,B,2026-04-16T13:18:17.260916
ENR-00056,STU-0178,CRS-0025,SEM-5,B,2026-04-16T13:18:17.260920
ENR-00057,STU-0036,CRS-0003,SEM-5,F,2026-04-16T13:18:17.260924
ENR-00058,STU-0470,CRS-0030,SEM-1,B,2026-04-16T13:18:17.260929
ENR-00059,STU-0233,CRS-0001,SEM-5,D,2026-04-16T13:18:17.260933
ENR-00060,STU-0479,CRS-0052,SEM-1,D,2026-04-16T13:18:17.260937
ENR-00061,STU-0027,CRS-0058,SEM-6,A,2026-04-16T13:18:17.260941
ENR-00062,STU-0057,CRS-0006,SEM-3,C,2026-04-16T13:18:17.260945
ENR-00063,STU-0322,CRS-0042,SEM-2,C,2026-04-16T13:18:17.260949
ENR-00064,STU-0456,CRS-0049,SEM-1,A,2026-04-16T13:18:17.260953
ENR-00065,STU-0350,CRS-0057,SEM-5,B,2026-04-16T13:18:17.260957
ENR-00066,STU-0410,CRS-0024,SEM-5,C,2026-04-16T13:18:17.260962
ENR-00067,STU-0171,CRS-0009,SEM-5,B,2026-04-16T13:18:17.260966
ENR-00068,STU-0327,CRS-0022,SEM-4,C,2026-04-16T13:18:17.260970
ENR-00069,STU-0220,CRS-0031,SEM-5,B,2026-04-16T13:18:17.260974
ENR-00070,STU-0020,CRS-0016,SEM-2,F,2026-04-16T13:18:17.260978
ENR-00071,STU-0316,CRS-0046,SEM-6,W,2026-04-16T13:18:17.260982
ENR-00072,STU-0056,CRS-0057,SEM-3,A,2026-04-16T13:18:17.260988
ENR-00073,STU-0304,CRS-0033,SEM-2,C,2026-04-16T13:18:17.260992
ENR-00074,STU-0325,CRS-0053,SEM-3,B,2026-04-16T13:18:17.260996
ENR-00075,STU-0047,CRS-0015,SEM-5,D,2026-04-16T13:18:17.261000
ENR-00076,STU-0157,CRS-0016,SEM-4,A,2026-04-16T13:18:17.261004
ENR-00077,STU-0491,CRS-0002,SEM-2,B,2026-04-16T13:18:17.261010
ENR-00078,STU-0360,CRS-0022,SEM-5,C,2026-04-16T13:18:17.261014
ENR-00079,STU-0389,CRS-0053,SEM-6,B,2026-04-16T13:18:17.261018
ENR-00080,STU-0188,CRS-0036,SEM-3,F,2026-04-16T13:18:17.261022
ENR-00081,STU-0463,CRS-0037,SEM-4,A,2026-04-16T13:18:17.261026
ENR-00082,STU-0084,CRS-0046,SEM-5,C,2026-04-16T13:18:17.261031
ENR-00083,STU-0089,CRS-0040,SEM-2,B,2026-04-16T13:18:17.261035
ENR-00084,STU-0029,CRS-0056,SEM-6,B,2026-04-16T13:18:17.261039
ENR-00085,STU-0015,CRS-0058,SEM-5,A,2026-04-16T13:18:17.261043
ENR-00086,STU-0104,CRS-0002,SEM-3,C,2026-04-16T13:18:17.261047
ENR-00087,STU-0332,CRS-0036,SEM-2,A,2026-04-16T13:18:17.261051
ENR-00088,STU-0222,CRS-0030,SEM-4,C,2026-04-16T13:18:17.261055
ENR-00089,STU-0114,CRS-0029,SEM-6,B,2026-04-16T13:18:17.261058
ENR-00090,STU-0270,CRS-0009,SEM-3,C,2026-04-16T13:18:17.261062
ENR-00091,STU-0089,CRS-0056,SEM-6,A,2026-04-16T13:18:17.261066
ENR-00092,STU-0399,CRS-0028,SEM-2,A,2026-04-16T13:18:17.261070
ENR-00093,STU-0396,CRS-0021,SEM-1,A,2026-04-16T13:18:17.261085
ENR-00094,STU-0473,CRS-0012,SEM-6,D,2026-04-16T13:18:17.261090
ENR-00095,STU-0241,CRS-0029,SEM-5,W,2026-04-16T13:18:17.261094
ENR-00096,STU-0292,CRS-0004,SEM-2,B,2026-04-16T13:18:17.261098
ENR-00097,STU-0408,CRS-0029,SEM-1,B,2026-04-16T13:18:17.261102
ENR-00098,STU-0369,CRS-0020,SEM-2,D,2026-04-16T13:18:17.261106
ENR-00099,STU-0176,CRS-0053,SEM-1,B,2026-04-16T13:18:17.261110
ENR-00100,STU-0494,CRS-0032,SEM-1,D,2026-04-16T13:18:17.261114
ENR-00101,STU-0497,CRS-0047,SEM-6,B,2026-04-16T13:18:17.261118
ENR-00102,STU-0166,CRS-0045,SEM-3,A,2026-04-16T13:18:17.261122
ENR-00103,STU-0442,CRS-0002,SEM-2,W,2026-04-16T13:18:17.261126
ENR-00104,STU-0003,CRS-0032,SEM-6,B,2026-04-16T13:18:17.261130
ENR-00105,STU-0305,CRS-0032,SEM-5,D,2026-04-16T13:18:17.261134
ENR-00106,STU-0076,CRS-0038,SEM-2,B,2026-04-16T13:18:17.261138
ENR-00107,STU-0227,CRS-0008,SEM-6,B,2026-04-16T13:18:17.261143
ENR-00108,STU-0111,CRS-0043,SEM-1,C,2026-04-16T13:18:17.261147
ENR-00109,STU-0214,CRS-0012,SEM-4,C,2026-04-16T13:18:17.261151
ENR-00110,STU-0271,CRS-0031,SEM-2,F,2026-04-16T13:18:17.261155
ENR-00111,STU-0074,CRS-0030,SEM-4,B,2026-04-16T13:18:17.261159
ENR-00112,STU-0110,CRS-0011,SEM-6,B,2026-04-16T13:18:17.261163
ENR-00113,STU-0054,CRS-0058,SEM-1,W,2026-04-16T13:18:17.261167
ENR-00114,STU-0163,CRS-0042,SEM-3,B,2026-04-16T13:18:17.261171
ENR-00115,STU-0493,CRS-0041,SEM-5,B,2026-04-16T13:18:17.261178
ENR-00116,STU-0135,CRS-0056,SEM-1,B,2026-04-16T13:18:17.261182
ENR-00117,STU-0072,CRS-0049,SEM-5,A,2026-04-16T13:18:17.261186
ENR-00118,STU-0044,CRS-0001,SEM-6,C,2026-04-16T13:18:17.261191
ENR-00119,STU-0227,CRS-0007,SEM-6,A,2026-04-16T13:18:17.261195
ENR-00120,STU-0307,CRS-0010,SEM-5,B,2026-04-16T13:18:17.261199
ENR-00121,STU-0220,CRS-0036,SEM-6,W,2026-04-16T13:18:17.261203
ENR-00122,STU-0210,CRS-0009,SEM-2,C,2026-04-16T13:18:17.261207
ENR-00123,STU-0330,CRS-0022,SEM-1,A,2026-04-16T13:18:17.261211
ENR-00124,STU-0424,CRS-0037,SEM-6,C,2026-04-16T13:18:17.261215
ENR-00125,STU-0341,CRS-0029,SEM-5,A,2026-04-16T13:18:17.261219
ENR-00126,STU-0455,CRS-0022,SEM-6,B,2026-04-16T13:18:17.261223
ENR-00127,STU-0010,CRS-0023,SEM-4,D,2026-04-16T13:18:17.261227
ENR-00128,STU-0054,CRS-0026,SEM-4,C,2026-04-16T13:18:17.261231
ENR-00129,STU-0457,CRS-0037,SEM-6,C,2026-04-16T13:18:17.261235
ENR-00130,STU-0391,CRS-0015,SEM-2,A,2026-04-16T13:18:17.261240
ENR-00131,STU-0292,CRS-0030,SEM-5,C,2026-04-16T13:18:17.261244
ENR-00132,STU-0334,CRS-0046,SEM-1,B,2026-04-16T13:18:17.261248
ENR-00133,STU-0497,CRS-0052,SEM-2,B,2026-04-16T13:18:17.261252
ENR-00134,STU-0012,CRS-0010,SEM-1,A,2026-04-16T13:18:17.261256
ENR-00135,STU-0391,CRS-0025,SEM-2,D,2026-04-16T13:18:17.261260
ENR-00136,STU-0290,CRS-0002,SEM-3,A,2026-04-16T13:18:17.261264
ENR-00137,STU-0384,CRS-0001,SEM-6,A,2026-04-16T13:18:17.261268
ENR-00138,STU-0332,CRS-0027,SEM-1,B,2026-04-16T13:18:17.261273
ENR-00139,STU-0162,CRS-0047,SEM-3,W,2026-04-16T13:18:17.261277
ENR-00140,STU-0358,CRS-0022,SEM-3,D,2026-04-16T13:18:17.261281
ENR-00141,STU-0352,CRS-0033,SEM-1,A,2026-04-16T13:18:17.261285
ENR-00142,STU-0339,CRS-0017,SEM-6,C,2026-04-16T13:18:17.261289
ENR-00143,STU-0098,CRS-0012,SEM-4,A,2026-04-16T13:18:17.261293
ENR-00144,STU-0194,CRS-0050,SEM-6,A,2026-04-16T13:18:17.261297
ENR-00145,STU-0128,CRS-0029,SEM-2,B,2026-04-16T13:18:17.261301
ENR-00146,STU-0378,CRS-0040,SEM-2,F,2026-04-16T13:18:17.261305
ENR-00147,STU-0116,CRS-0023,SEM-3,D,2026-04-16T13:18:17.261309
ENR-00148,STU-0365,CRS-0014,SEM-2,C,2026-04-16T13:18:17.261313
ENR-00149,STU-0398,CRS-0025,SEM-2,F,2026-04-16T13:18:17.261317
ENR-00150,STU-0386,CRS-0013,SEM-3,A,2026-04-16T13:18:17.261322
ENR-00151,STU-0097,CRS-0001,SEM-6,C,2026-04-16T13:18:17.261326
ENR-00152,STU-0206,CRS-0019,SEM-3,B,2026-04-16T13:18:17.261330
ENR-00153,STU-0085,CRS-0005,SEM-2,D,2026-04-16T13:18:17.261334
ENR-00154,STU-0124,CRS-0011,SEM-5,D,2026-04-16T13:18:17.261338
ENR-00155,STU-0235,CRS-0050,SEM-6,B,2026-04-16T13:18:17.261342
ENR-00156,STU-0372,CRS-0022,SEM-1,A,2026-04-16T13:18:17.261346
ENR-00157,STU-0289,CRS-0026,SEM-1,B,2026-04-16T13:18:17.261350
ENR-00158,STU-0242,CRS-0025,SEM-4,C,2026-04-16T13:18:17.261354
ENR-00159,STU-0220,CRS-0059,SEM-2,A,2026-04-16T13:18:17.261358
ENR-00160,STU-0474,CRS-0047,SEM-5,C,2026-04-16T13:18:17.261362
ENR-00161,STU-0168,CRS-0020,SEM-4,F,2026-04-16T13:18:17.261366
ENR-00162,STU-0134,CRS-0042,SEM-3,A,2026-04-16T13:18:17.261370
ENR-00163,STU-0166,CRS-0034,SEM-1,D,2026-04-16T13:18:17.261374
ENR-00164,STU-0479,CRS-0058,SEM-4,C,2026-04-16T13:18:17.261378
ENR-00165,STU-0236,CRS-0007,SEM-6,W,2026-04-16T13:18:17.261382
ENR-00166,STU-0455,CRS-0008,SEM-5,D,2026-04-16T13:18:17.261386
ENR-00167,STU-0231,CRS-0033,SEM-4,B,2026-04-16T13:18:17.261390
ENR-00168,STU-0072,CRS-0043,SEM-2,A,2026-04-16T13:18:17.261394
ENR-00169,STU-0263,CRS-0035,SEM-6,B,2026-04-16T13:18:17.261398
ENR-00170,STU-0479,CRS-0052,SEM-6,B,2026-04-16T13:18:17.261402
ENR-00171,STU-0340,CRS-0009,SEM-2,B,2026-04-16T13:18:17.261406
ENR-00172,STU-0423,CRS-0015,SEM-4,C,2026-04-16T13:18:17.261410
ENR-00173,STU-0155,CRS-0018,SEM-4,B,2026-04-16T13:18:17.261414
ENR-00174,STU-0200,CRS-0033,SEM-3,A,2026-04-16T13:18:17.261419
ENR-00175,STU-0475,CRS-0021,SEM-5,B,2026-04-16T13:18:17.261423
ENR-00176,STU-0260,CRS-0030,SEM-5,C,2026-04-16T13:18:17.261427
ENR-00177,STU-0139,CRS-0018,SEM-3,F,2026-04-16T13:18:17.261431
ENR-00178,STU-0184,CRS-0057,SEM-1,C,2026-04-16T13:18:17.261435
ENR-00179,STU-0218,CRS-0009,SEM-3,A,2026-04-16T13:18:17.261439
ENR-00180,STU-0139,CRS-0024,SEM-3,B,2026-04-16T13:18:17.261443
ENR-00181,STU-0452,CRS-0028,SEM-1,C,2026-04-16T13:18:17.261447
ENR-00182,STU-0281,CRS-0002,SEM-5,B,2026-04-16T13:18:17.261451
ENR-00183,STU-0462,CRS-0030,SEM-2,B,2026-04-16T13:18:17.261455
ENR-00184,STU-0404,CRS-0004,SEM-6,C,2026-04-16T13:18:17.261459
ENR-00185,STU-0470,CRS-0044,SEM-2,D,2026-04-16T13:18:17.261463
ENR-00186,STU-0397,CRS-0045,SEM-4,C,2026-04-16T13:18:17.261467
ENR-00187,STU-0035,CRS-0013,SEM-3,B,2026-04-16T13:18:17.261471
ENR-00188,STU-0367,CRS-0030,SEM-2,F,2026-04-16T13:18:17.261475
ENR-00189,STU-0377,CRS-0025,SEM-1,B,2026-04-16T13:18:17.261479
ENR-00190,STU-0485,CRS-0057,SEM-6,A,2026-04-16T13:18:17.261483
ENR-00191,STU-0465,CRS-0001,SEM-3,F,2026-04-16T13:18:17.261487
ENR-00192,STU-0129,CRS-0010,SEM-1,C,2026-04-16T13:18:17.261491
ENR-00193,STU-0166,CRS-0002,SEM-4,A,2026-04-16T13:18:17.261495
ENR-00194,STU-0003,CRS-0005,SEM-5,A,2026-04-16T13:18:17.261499
ENR-00195,STU-0167,CRS-0049,SEM-4,C,2026-04-16T13:18:17.261503
ENR-00196,STU-0223,CRS-0020,SEM-5,C,2026-04-16T13:18:17.261507
ENR-00197,STU-0158,CRS-0056,SEM-5,A,2026-04-16T13:18:17.261511
ENR-00198,STU-0135,CRS-0042,SEM-4,B,2026-04-16T13:18:17.261515
ENR-00199,STU-0212,CRS-0045,SEM-4,C,2026-04-16T13:18:17.261519
ENR-00200,STU-0396,CRS-0054,SEM-3,B,2026-04-16T13:18:17.261524
ENR-00201,STU-0015,CRS-0010,SEM-2,C,2026-04-16T13:18:17.261528
ENR-00202,STU-0202,CRS-0043,SEM-5,B,2026-04-16T13:18:17.261533
ENR-00203,STU-0186,CRS-0020,SEM-2,B,2026-04-16T13:18:17.261537
ENR-00204,STU-0162,CRS-0024,SEM-1,B,2026-04-16T13:18:17.261541
ENR-00205,STU-0008,CRS-0045,SEM-4,W,2026-04-16T13:18:17.261545
ENR-00206,STU-0179,CRS-0042,SEM-6,C,2026-04-16T13:18:17.261548
ENR-00207,STU-0253,CRS-0024,SEM-1,B,2026-04-16T13:18:17.261552
ENR-00208,STU-0169,CRS-0003,SEM-6,D,2026-04-16T13:18:17.261556
ENR-00209,STU-0181,CRS-0040,SEM-4,A,2026-04-16T13:18:17.261560
ENR-00210,STU-0348,CRS-0041,SEM-1,D,2026-04-16T13:18:17.261565
ENR-00211,STU-0270,CRS-0040,SEM-1,C,2026-04-16T13:18:17.261569
ENR-00212,STU-0172,CRS-0015,SEM-2,A,2026-04-16T13:18:17.261573
ENR-00213,STU-0079,CRS-0040,SEM-2,B,2026-04-16T13:18:17.261577
ENR-00214,STU-0368,CRS-0051,SEM-4,B,2026-04-16T13:18:17.261581
ENR-00215,STU-0354,CRS-0013,SEM-2,A,2026-04-16T13:18:17.261585
ENR-00216,STU-0171,CRS-0022,SEM-1,B,2026-04-16T13:18:17.261589
ENR-00217,STU-0405,CRS-0032,SEM-1,A,2026-04-16T13:18:17.261593
ENR-00218,STU-0261,CRS-0033,SEM-1,W,2026-04-16T13:18:17.261597
ENR-00219,STU-0206,CRS-0004,SEM-3,B,2026-04-16T13:18:17.261601
ENR-00220,STU-0022,CRS-0047,SEM-6,F,2026-04-16T13:18:17.261605
ENR-00221,STU-0342,CRS-0035,SEM-1,C,2026-04-16T13:18:17.261609
ENR-00222,STU-0083,CRS-0047,SEM-1,A,2026-04-16T13:18:17.261613
ENR-00223,STU-0392,CRS-0016,SEM-1,C,2026-04-16T13:18:17.261618
ENR-00224,STU-0028,CRS-0021,SEM-4,B,2026-04-16T13:18:17.261622
ENR-00225,STU-0339,CRS-0050,SEM-2,F,2026-04-16T13:18:17.261626
ENR-00226,STU-0171,CRS-0032,SEM-5,B,2026-04-16T13:18:17.261632
ENR-00227,STU-0338,CRS-0060,SEM-5,A,2026-04-16T13:18:17.261636
ENR-00228,STU-0202,CRS-0050,SEM-6,A,2026-04-16T13:18:17.261640
ENR-00229,STU-0366,CRS-0040,SEM-6,A,2026-04-16T13:18:17.261644
ENR-00230,STU-0373,CRS-0033,SEM-6,A,2026-04-16T13:18:17.261648
ENR-00231,STU-0038,CRS-0012,SEM-3,D,2026-04-16T13:18:17.261653
ENR-00232,STU-0239,CRS-0008,SEM-6,C,2026-04-16T13:18:17.261656
ENR-00233,STU-0366,CRS-0040,SEM-4,C,2026-04-16T13:18:17.261661
ENR-00234,STU-0068,CRS-0020,SEM-2,C,2026-04-16T13:18:17.261666
ENR-00235,STU-0174,CRS-0028,SEM-1,A,2026-04-16T13:18:17.261670
ENR-00236,STU-0356,CRS-0054,SEM-4,A,2026-04-16T13:18:17.261674
ENR-00237,STU-0269,CRS-0015,SEM-6,A,2026-04-16T13:18:17.261678
ENR-00238,STU-0447,CRS-0016,SEM-4,B,2026-04-16T13:18:17.261682
ENR-00239,STU-0162,CRS-0025,SEM-3,A,2026-04-16T13:18:17.261686
ENR-00240,STU-0262,CRS-0035,SEM-3,A,2026-04-16T13:18:17.261690
ENR-00241,STU-0228,CRS-0005,SEM-4,B,2026-04-16T13:18:17.261695
ENR-00242,STU-0374,CRS-0008,SEM-4,C,2026-04-16T13:18:17.261699
ENR-00243,STU-0147,CRS-0038,SEM-6,A,2026-04-16T13:18:17.261703
